,right_r2,left_r2,mean_r2,fold1_r2,fold2_r2,fold3_r2,fold4_r2,fold5_r2,right_mape,left_mape,mean_mape,fold1_mape,fold2_mape,fold3_mape,fold4_mape,fold5_mape,right_mse,left_mse,mean_mse,fold1_mse,fold2_mse,fold3_mse,fold4_mse,fold5_mse,parameter,model,window
0,-0.020647166975002254,-0.22764441384943174,-0.12414579041221699,[-0.10963965],[-0.28138771],[-0.09675487],[-0.06000016],[-0.07294656],0.00558771393553929,0.004609664116799451,0.0050986890261693705,[0.00521272],[0.00528798],[0.00563954],[0.00479098],[0.00456223],0.08831595450879992,0.05966919068309856,0.07399257259594924,[0.07851566],[0.07322218],[0.09185445],[0.0680463],[0.05832427],Температура_dinam_fact,HistGradientBoostingRegressor on flat vector,1
1,0.35783970443024626,-1.7450397019613582,-0.6935999987655559,[0.14536919],[-1.71176077],[-1.56112516],[0.22036561],[-0.56084886],0.529595916958611,0.3763731983361223,0.45298455764736667,[0.44067942],[0.56726347],[0.39596548],[0.41842839],[0.44258603],1.0,-32.87003030743357,25.661106422636877,[2.45174185],[1.65893685],[5.45089904],[116.7000798],[2.04387458],Лимфоциты#_dinam_fact,HistGradientBoostingRegressor on flat vector,1
2,0.6929314061617808,-1.823964071741333,-0.5655163327897761,[-0.20512094],[-2.50746807],[0.09534067],[-0.23105316],[0.02071983],1.0,0.4125924739845574,0.8014559310626904,[0.65098137],[1.40506504],[0.63627585],[0.6887],[0.6262574],1.0,5658.191117308741,8742.31324411557,[5036.23703136],[9116.34429988],[12557.99584647],[8845.42754818],[8155.56149468],АСТ_dinam_fact,HistGradientBoostingRegressor on flat vector,1
3,-0.06934043564380003,-0.11282242366332616,-0.0910814296535631,[-0.09671866],[-0.11374856],[-0.06138715],[-0.09069657],[-0.0928562],1.0,0.855595952450478,1.689415266550236,[1.53971181],[2.7920078],[1.6085407],[1.74302499],[0.76379103],1.0,221.07766246111785,283.0484498870384,[277.5056621],[358.98417832],[267.72994704],[300.65213613],[210.37032584],ЧСС_dinam_fact,HistGradientBoostingRegressor on flat vector,1
4,0.05067299227062945,-0.01308496135633246,0.018794015457148497,[0.01412094],[0.00083788],[-0.01494981],[0.04555567],[0.0484054],0.08386987663391292,0.07028967862238676,0.07707977762814984,[0.07629845],[0.08501597],[0.08014082],[0.06928848],[0.07465518],1.0,2.899378724670123,5.534732381091571,[3.31800721],[3.87136102],[4.4734917],[8.05677353],[7.95402846],ЧДД_dinam_fact,HistGradientBoostingRegressor on flat vector,1
5,0.3727740579261771,0.18410593210768722,0.2784399950169322,[0.24087129],[0.15820285],[0.31566083],[0.37344609],[0.30401891],0.5524069747349615,0.3572504212331187,0.4548286979840401,[0.39771421],[0.59061127],[0.43454954],[0.47565316],[0.3756153],1.0,19.004537474961285,40.704205890689146,[31.63494972],[63.62005654],[57.92611386],[29.56223016],[20.77767918],Билирубин общий_dinam_fact,HistGradientBoostingRegressor on flat vector,1
6,0.8989697913451216,0.4191785956677785,0.65907419350645,[0.71984521],[0.29820813],[0.71259111],[0.84153882],[0.7231877],0.10533337580177918,0.04633281855551576,0.07583309717864747,[0.08067961],[0.11776591],[0.06906274],[0.05755712],[0.05410011],1.0,0.3018858678424621,0.8878479221896718,[0.90994177],[1.7478207],[0.73264905],[0.45052113],[0.59830697],MPV- Средн.объем тромбоцитов_dinam_fact,HistGradientBoostingRegressor on flat vector,1
7,0.3678354047901655,0.23833474747557734,0.30308507613287144,[0.32476155],[0.21094198],[0.29007503],[0.35098914],[0.33865769],0.35513974048553165,0.284014749984698,0.3195772452351148,[0.3145663],[0.35894669],[0.30720249],[0.33906472],[0.27810603],0.008791836279778793,0.006530240277009791,0.007661038278394292,[0.00689181],[0.00937133],[0.00740973],[0.007478],[0.00715431],PCT- Тромбокрит_dinam_fact,HistGradientBoostingRegressor on flat vector,1
8,0.4626257764000503,0.31265490752935243,0.3876403419647014,[0.39741067],[0.34685176],[0.39526673],[0.48572947],[0.31294308],0.4835605522232359,0.41912418215705183,0.45134236719014387,[0.46071591],[0.41340476],[0.44826505],[0.44366254],[0.49066358],1.0,84.51505140252942,97.09417422654049,[91.3170392],[110.98852158],[106.59686107],[90.15046553],[86.41798375],Лимфоциты%_dinam_fact,HistGradientBoostingRegressor on flat vector,1
9,0.9687718372520906,0.876125418114504,0.9224486276832973,[0.92657932],[0.91911316],[0.89579109],[0.88331474],[0.98744483],1.0,55504780138016.49,97615502880611.72,[7.88139293e+13],[1.6193066e+14],[8.30661819e+13],[7.24833856e+13],[9.17833578e+13],0.028127543369581245,0.006442015633208413,0.01728477950139483,[0.025306],[0.0234497],[0.02071385],[0.01505674],[0.00189761],снижение_сознания_dinam_fact,HistGradientBoostingRegressor on flat vector,1
