,MSE,MAPE,R2
Температура,0.3473079254426171,0.34%,-0.01541024768023751
Лимфоциты#,0.4555261331101934,64.73%,-0.2320259330648388
АСТ,0.8191184258460502,77.89%,0.25099453354684986
ЧСС,0.8041216807360438,133.34%,0.0019337631361769025
ЧДД,0.3029706897901391,7.87%,0.2969691681660659
Билирубин общий,0.5082287800533273,35.92%,0.2864445207106855
MPV- Средн.объем тромбоцитов,0.4254270485907329,9.18%,0.4796375968668921
PCT- Тромбокрит,0.7556334560077449,33.03%,0.1680893808135301
Лимфоциты%,0.640553210295509,43.60%,0.26559732484182613
снижение_сознания,0.08624694222866587,13036116886090638.00%,0.9156822828398223
Cтепень тяжести по КТ,0.7235679532352046,3108301875746054.00%,-0.01964543505060883
Лактатдегидрогеназа,0.8030342546074525,26.33%,0.16067913298667166
PDW- Индекс расп.по объему тр.,0.4599864326256961,13.40%,0.32438694247226646
