,right_r2,left_r2,mean_r2,fold1_r2,fold2_r2,fold3_r2,fold4_r2,fold5_r2,right_mape,left_mape,mean_mape,fold1_mape,fold2_mape,fold3_mape,fold4_mape,fold5_mape,right_mse,left_mse,mean_mse,fold1_mse,fold2_mse,fold3_mse,fold4_mse,fold5_mse,parameter,model,window
0,0.09996956812853483,-0.19192484988816652,-0.045977640879815845,[0.04139343],[0.01996979],[-0.02022566],[-0.26928714],[-0.00173864],1.0,2.1380703371823855,2.9815782399909887,[3.09867784],[3.77896798],[3.49420888],[2.60181025],[1.93422626],0.6611922789018632,0.09380534383499944,0.37749881136843133,[0.29403959],[0.14165251],[0.24749916],[0.77986909],[0.42443371],Температура_dinam_fact,LinearRegression on flatten vector,1
1,0.7647016078809119,0.10118664718774051,0.4329441275343262,[0.57017299],[0.14824668],[0.29089143],[0.870238],[0.28517154],1.0,3.488881615354509,5.9379663091749695,[8.90587185],[5.58284691],[4.49376781],[7.14964291],[3.55770206],0.49094271810690815,-0.16133536992711395,0.1648036740898971,[0.0430809],[0.01954537],[0.05412647],[0.67179913],[0.03546649],Лимфоциты#_dinam_fact,LinearRegression on flatten vector,1
2,0.34871261151463695,-0.19631230130066024,0.07620015510698835,[0.32616625],[-0.31269102],[0.1472766],[0.06712565],[0.1531233],1.0,2.260231113643387,3.3267251866895355,[2.17720932],[4.05547772],[4.45028164],[2.77436265],[3.1762946],1.0,0.34474083324424165,1.0061582379721643,[0.53415077],[0.46095666],[1.89732972],[1.03813304],[1.100221],АСТ_dinam_fact,LinearRegression on flatten vector,1
3,0.011166583792142389,-0.00600278038829318,0.0025819017019246045,[0.01191038],[-0.00406655],[-0.00504747],[0.00178708],[0.00832607],1.0,1.5370199202093855,1.8278737920784636,[1.71921128],[2.15545826],[2.01911546],[1.53269284],[1.71289112],0.9849468634448855,0.6313339214560123,0.8081403924504489,[0.7787751],[1.00561922],[0.75277041],[0.90232451],[0.60121272],ЧСС_dinam_fact,LinearRegression on flatten vector,1
4,0.3268322988443625,0.04332638085698806,0.18507933985067526,[0.35807611],[0.24599838],[0.17215672],[0.03857653],[0.11058896],1.0,12.349810709844766,14.363887248983325,[13.57328236],[12.41800526],[13.84390747],[17.06300308],[14.92123807],0.5345959378190368,0.14819968092837965,0.3413978093737082,[0.18807814],[0.21962889],[0.25323239],[0.54409722],[0.50195239],ЧДД_dinam_fact,LinearRegression on flatten vector,1
5,0.45846610283563083,0.17650325764922647,0.31748468024242865,[0.33555746],[0.15816973],[0.49646155],[0.32781584],[0.26941883],1.0,1.141731783023776,5.0583226256414395,[3.84496687],[3.35236388],[3.00951075],[3.97117572],[11.11359591],0.7233892589023674,0.26167711169200764,0.4925331852971875,[0.36601856],[0.79123451],[0.60992063],[0.36136359],[0.33412863],Билирубин общий_dinam_fact,LinearRegression on flatten vector,1
6,0.8030744498231099,0.31151259351278077,0.5572935216679453,[0.62753543],[0.18275829],[0.60442431],[0.72006975],[0.65167982],1.0,3.7467341267948533,3.9811332748464734,[3.81574927],[4.31562167],[3.83899734],[4.02463313],[3.91066497],0.5493050169279236,0.17031350530631384,0.3598092611171187,[0.34556124],[0.64419213],[0.31634453],[0.25025891],[0.2426895],MPV- Средн.объем тромбоцитов_dinam_fact,LinearRegression on flatten vector,1
7,0.33907177049601134,0.18559060714227182,0.2623311888191416,[0.26319284],[0.1543281],[0.32722124],[0.26048104],[0.30643273],1.0,-1.464397851190295,5.0703511442204565,[15.2375478],[2.60055496],[2.41822122],[2.46002115],[2.63541059],0.7734581829121863,0.5754914849032184,0.6744748339077024,[0.60656991],[0.80732925],[0.60235107],[0.71096796],[0.64515597],PCT- Тромбокрит_dinam_fact,LinearRegression on flatten vector,1
8,0.46643536734108654,0.24570190913202455,0.35606863823655555,[0.38124875],[0.27793317],[0.33952108],[0.50795067],[0.27368952],1.0,1.0521371108898352,3.8142840081828853,[2.79577657],[3.10859971],[3.4560644],[1.75226026],[7.95871911],0.6565239728190153,0.4667556557232486,0.561639814271132,[0.49695099],[0.66070439],[0.64194252],[0.49365364],[0.51494753],Лимфоциты%_dinam_fact,LinearRegression on flatten vector,1
9,0.9788503705316272,0.8827594903999356,0.9308049304657814,[0.92745948],[0.93416976],[0.90427043],[0.88970916],[0.99841583],0.1375372643755735,0.08534472687301742,0.11144099562429546,[0.12543635],[0.14407922],[0.0958506],[0.08978777],[0.10205103],0.12072864364232083,0.021884732471843145,0.07130668805708198,[0.11489426],[0.0876996],[0.08744091],[0.06539839],[0.00110027],снижение_сознания_dinam_fact,LinearRegression on flatten vector,1
10,0.013446825803214116,-0.15038982031560022,-0.06847149725619306,[0.00422932],[-0.11607697],[-0.11798677],[-0.12700503],[0.01448197],0.8870850175884074,0.7646296868095336,0.8258573521989705,[0.80004358],[0.91252947],[0.7819001],[0.84078463],[0.79402898],0.8818304381579147,0.6314590659590595,0.7566447520584871,[0.71116101],[0.86027046],[0.59103134],[0.78370995],[0.837051],Cтепень тяжести по КТ_dinam_fact,LinearRegression on flatten vector,1
11,0.2950377874567751,-0.020200934334916876,0.13741842656092912,[0.27226351],[-0.07958841],[0.22940753],[0.10596157],[0.15904793],1.0,0.3973732391062894,6.371902746194694,[3.04552876],[11.63842951],[2.39852619],[12.45712966],[2.31989961],1.0,0.39093167231094916,0.818071362130121,[0.50108391],[0.37491658],[1.01502049],[1.26990899],[0.92942684],Лактатдегидрогеназа_dinam_fact,LinearRegression on flatten vector,1
12,0.6481618102231421,0.11489388828974917,0.3815278492564457,[0.58005055],[0.24909452],[0.62074445],[0.06395398],[0.39379574],1.0,2.7708585224678046,3.864939944050678,[4.000279],[2.24244894],[4.25850834],[4.74289006],[4.08057337],0.5327444514696076,0.2708853223444751,0.40181488690704137,[0.35568618],[0.5765591],[0.40280667],[0.41056968],[0.26345281],PDW- Индекс расп.по объему тр._dinam_fact,LinearRegression on flatten vector,1
